AT,V,PE
14.96,41.76,463.26
25.18,62.96,444.37
5.11,39.4,488.56
20.86,57.32,446.48
10.82,37.5,473.9
26.27,59.44,443.67
15.89,43.96,467.35
9.48,44.71,478.42
14.64,45,475.98
11.74,43.56,477.5
17.99,43.72,453.02
20.14,46.93,453.99
24.34,73.5,440.29
25.71,58.59,451.28
26.19,69.34,433.99
21.42,43.79,462.19
18.21,45,467.54
11.04,41.74,477.2
14.45,52.75,459.85
13.97,38.47,464.3
17.76,42.42,468.27
5.41,40.07,495.24
7.76,42.28,483.8
27.23,63.9,443.61
27.36,48.6,436.06
27.47,70.72,443.25
14.6,39.31,464.16
7.91,39.96,475.52
5.81,35.79,484.41
30.53,65.18,437.89
23.87,63.94,445.11
26.09,58.41,438.86
29.27,66.85,440.98
27.38,74.16,436.65
24.81,63.94,444.26
12.75,44.03,465.86
24.66,63.73,444.37
16.38,47.45,450.69
13.91,39.35,469.02
23.18,51.3,448.86
22.47,47.45,447.14
13.39,44.85,469.18
9.28,41.54,482.8
11.82,42.86,476.7
10.27,40.64,474.99
22.92,63.94,444.22
16,37.87,461.33
21.22,43.43,448.06
13.46,44.71,474.6
9.39,40.11,473.05
31.07,73.5,432.06
12.82,38.62,467.41
32.57,78.92,430.12
8.11,42.18,473.62
13.92,39.39,471.81
23.04,59.43,442.99
27.31,64.44,442.77
5.91,39.33,491.49
25.26,61.08,447.46
27.97,58.84,446.11
26.08,52.3,442.44
29.01,65.71,446.22
12.18,40.1,471.49
13.76,45.87,463.5
25.5,58.79,440.01
28.26,65.34,441.03
21.39,62.96,452.68
7.26,40.69,474.91
10.54,34.03,478.77
27.71,74.34,434.2
23.11,68.3,437.91
7.51,41.01,477.61
26.46,74.67,431.65
29.34,74.34,430.57
10.32,42.28,481.09
22.74,61.02,445.56
13.48,39.85,475.74
25.52,69.75,435.12
21.58,67.25,446.15
27.66,76.86,436.64
26.96,69.45,436.69
12.29,42.18,468.75
15.86,43.02,466.6
13.87,45.08,465.48
24.09,73.68,441.34
20.45,69.45,441.83
15.07,39.3,464.7
32.72,69.75,437.99
18.23,58.96,459.12
35.56,68.94,429.69
18.36,51.43,459.8
26.35,64.05,433.63
25.92,60.95,442.84
8.01,41.66,485.13
19.63,52.72,459.12
20.02,67.32,445.31
10.08,40.72,480.8
27.23,66.48,432.55
23.37,63.77,443.86
18.74,59.21,449.77
14.81,43.69,470.71
23.1,51.3,452.17
10.72,41.38,478.29
29.46,71.94,428.54
8.1,40.64,478.27
27.29,62.66,439.58
17.1,49.69,457.32
11.49,44.2,475.51
23.69,65.59,439.66
13.51,40.89,471.99
9.64,39.35,479.81
25.65,78.92,434.78
21.59,61.87,446.58
27.98,58.33,437.76
18.8,39.72,459.36
18.28,44.71,462.28
13.55,43.48,464.33
22.99,46.21,444.36
23.94,59.39,438.64
13.74,34.03,470.49
21.3,41.1,455.13
27.54,66.93,450.22
24.81,63.73,440.43
4.97,42.85,482.98
15.22,50.88,460.44
23.88,54.2,444.97
33.01,68.67,433.94
25.98,73.18,439.73
28.18,73.88,434.48
21.67,60.84,442.33
17.67,45.09,457.67
21.37,57.76,454.66
28.69,67.25,432.21
16.61,43.77,457.66
27.91,63.76,435.21
20.97,47.43,448.22
10.8,41.66,475.51
20.61,62.91,446.53
25.45,57.32,441.3
30.16,69.34,433.54
4.99,39.04,472.52
10.51,44.78,474.77
33.79,69.05,435.1
21.34,59.8,450.74
23.4,65.06,442.7
32.21,68.14,426.56
14.26,42.32,463.71
27.71,66.93,447.06
21.95,57.76,452.27
25.76,63.94,445.78
23.68,68.3,438.65
8.28,40.77,480.15
23.44,62.52,447.19
25.32,48.41,443.04
3.94,39.9,488.81
17.3,57.76,455.75
18.2,49.39,455.86
21.43,46.97,457.68
11.16,40.05,479.11
30.38,74.16,432.84
23.36,62.52,448.37
21.69,47.45,447.06
23.62,49.21,443.53
21.87,61.45,445.21
29.25,66.51,441.7
20.03,66.86,450.93
18.14,49.78,451.44
24.23,56.89,441.29
18.11,44.85,458.85
6.57,43.65,481.46
12.56,43.41,467.19
13.4,41.58,461.54
27.1,52.84,439.08
14.28,42.74,467.22
16.29,44.34,468.8
31.24,71.98,426.93
10.57,37.73,474.65
13.8,44.21,468.97
25.3,71.58,433.97
18.06,50.16,450.53
25.42,59.04,444.51
15.07,40.69,469.03
11.75,71.14,466.56
20.23,52.05,457.57
27.31,59.54,440.13
28.57,69.84,433.24
17.9,43.72,452.55
23.83,71.37,443.29
27.92,74.99,431.76
17.34,44.78,454.97
17.94,63.07,456.7
6.4,39.9,486.03
11.78,39.96,472.79
20.28,57.25,452.03
21.04,54.2,443.41
25.11,67.32,441.93
30.28,70.98,432.64
8.14,36.24,480.25
16.86,39.63,466.68
6.25,40.07,494.39
22.35,54.42,454.72
17.98,56.85,448.71
21.19,42.48,469.76
20.94,44.89,450.71
24.23,58.79,444.01
19.18,58.2,453.2
20.88,57.85,450.87
23.67,63.86,441.73
14.12,39.52,465.09
25.23,64.63,447.28
6.54,39.33,491.16
20.08,62.52,450.98
24.67,63.56,446.3
27.82,79.74,436.48
15.55,42.03,460.84
24.26,69.51,442.56
13.45,41.49,467.3
11.06,40.64,479.13
24.91,52.3,441.15
22.39,59.04,445.52
11.95,40.69,475.4
14.85,40.69,469.3
10.11,41.62,463.57
23.67,68.67,445.32
16.14,44.21,461.03
15.11,43.13,466.74
24.14,59.87,444.04
30.08,67.25,434.01
14.77,44.9,465.23
27.6,69.34,440.6
13.89,44.84,466.74
26.85,75.6,433.48
12.41,40.96,473.59
13.08,41.74,474.81
18.93,44.06,454.75
20.5,49.69,452.94
30.72,69.13,435.83
7.55,39.22,482.19
13.49,44.47,466.66
15.62,40.12,462.59
24.8,64.63,447.82
10.03,41.62,462.73
22.43,63.21,447.98
14.95,39.31,462.72
24.78,58.46,442.42
23.2,48.41,444.69
14.01,39,466.7
19.4,64.63,453.84
30.15,67.32,436.92
6.91,36.08,486.37
29.04,60.07,440.43
26.02,63.07,446.82
5.89,39.48,484.91
26.52,71.64,437.76
28.53,68.08,438.91
16.59,39.54,464.19
22.95,67.79,442.19
23.96,47.43,446.86
17.48,44.2,457.15
6.69,43.65,482.57
10.25,41.26,476.03
28.87,72.58,428.89
12.04,40.23,472.7
22.58,52.3,445.6
15.12,52.05,464.78
25.48,58.95,440.42
27.87,70.79,428.41
23.72,70.47,438.5
25,59.43,438.28
8.42,40.64,476.29
22.46,58.49,448.46
29.92,57.19,438.99
11.68,39.22,471.8
14.04,42.44,471.81
19.86,59.14,449.82
25.99,68.08,442.14
23.42,58.79,441.46
10.6,40.22,477.62
20.97,61.87,446.76
14.14,39.82,472.52
8.56,40.71,471.58
24.86,72.39,440.85
29,77.54,431.37
27.59,71.97,437.33
10.45,40.71,469.22
8.51,40.78,471.11
29.82,66.51,439.17
22.56,62.26,445.33
11.38,39.22,473.71
20.25,57.76,452.66
22.42,59.43,440.99
14.85,38.91,467.42
25.62,58.82,444.14
19.85,56.53,457.17
13.67,54.3,467.87
24.39,70.72,442.04
16.07,44.58,471.36
11.6,39.1,460.7
31.38,70.83,431.33
29.91,76.86,432.6
19.67,59.39,447.61
27.18,64.79,443.87
21.39,52.3,446.87
10.45,41.01,465.74
19.46,56.89,447.86
23.55,62.96,447.65
23.35,63.47,437.87
9.26,41.66,483.51
10.3,41.46,479.65
20.94,58.16,455.16
23.13,71.25,431.91
12.77,41.5,470.68
28.29,69.13,429.28
19.13,59.21,450.81
24.44,73.5,437.73
20.32,44.6,460.21
20.54,69.05,442.86
12.16,45,482.99
28.09,65.27,440
9.25,41.82,478.48
21.75,49.82,455.28
23.7,66.56,436.94
16.22,37.87,461.06
24.75,69.45,438.28
10.48,39.58,472.61
29.53,70.79,426.85
12.59,39.72,470.18
23.5,54.42,455.38
29.01,66.56,428.32
9.75,42.49,480.35
19.55,56.53,455.56
21.05,58.33,447.66
24.72,68.67,443.06
21.19,58.86,452.43
10.77,41.54,477.81
28.68,73.77,431.66
29.87,73.91,431.8
22.99,68.67,446.67
24.66,60.29,445.26
32.63,69.89,425.72
31.38,72.29,430.58
23.87,60.27,439.86
25.6,59.15,441.11
27.62,71.14,434.72
30.1,67.45,434.01
12.19,41.17,475.64
13.11,41.58,460.44
28.29,68.67,436.4
13.45,40.73,461.03
10.98,41.54,479.08
26.48,69.14,435.76
13.07,45.51,460.14
25.56,75.6,442.2
22.68,50.78,447.69
28.86,73.67,431.15
22.7,63.56,445
27.89,73.21,431.59
13.78,44.47,467.22
28.14,51.43,445.33
11.8,45.09,470.57
10.71,39.61,473.77
24.54,60.29,447.67
11.54,40.05,474.29
29.47,71.32,437.14
29.24,69.05,432.56
14.51,41.79,459.14
22.91,60.07,446.19
27.02,71.77,428.1
13.49,44.47,468.46
30.24,66.75,435.02
23.19,48.6,445.52
17.73,40.55,462.69
18.62,61.27,455.75
12.85,40,463.74
32.33,69.68,439.79
25.09,58.95,443.26
29.45,69.13,432.04
16.91,43.96,465.86
14.09,45.87,465.6
10.73,25.36,469.43
23.2,49.3,440.75
8.21,38.91,481.32
9.3,40.56,479.87
16.97,39.16,458.59
23.69,71.97,438.62
25.13,59.44,445.59
9.86,43.56,481.87
11.33,41.5,475.01
26.95,48.41,436.54
15,40.66,456.63
20.76,62.52,451.69
14.29,39.59,463.04
19.74,67.71,446.1
26.68,59.92,438.67
14.24,41.4,466.88
21.98,48.41,444.6
22.75,59.39,440.26
8.34,40.96,483.92
11.8,41.2,475.19
8.81,44.68,479.24
30.05,73.68,434.92
16.01,65.46,454.16
21.75,58.79,447.58
13.94,41.26,467.9
29.25,69.13,426.29
22.33,45.87,447.02
16.43,41.79,455.85
11.5,40.22,476.46
23.53,68.94,437.48
21.86,49.21,452.77
6.17,39.33,491.54
30.19,64.79,438.41
11.67,41.93,476.1
15.34,36.99,464.58
11.5,40.78,467.74
25.53,57.17,442.12
21.27,57.5,453.34
28.37,69.13,425.29
28.39,51.43,449.63
13.78,45.78,462.88
14.6,42.32,464.67
5.1,35.57,489.96
7,38.08,482.38
26.3,77.95,437.95
30.56,71.98,429.2
21.09,46.63,453.34
28.21,70.02,442.47
15.84,49.69,462.6
10.03,40.96,478.79
20.37,52.05,456.11
21.19,50.16,450.33
33.73,69.88,434.83
29.87,73.68,433.43
19.62,62.96,456.02
9.93,40.67,485.23
9.43,37.14,473.57
14.24,39.58,469.94
12.97,49.83,452.07
7.6,41.04,475.32
8.39,36.24,480.69
25.41,48.06,444.01
18.43,56.03,465.17
10.31,39.82,480.61
11.29,41.5,476.04
22.61,49.3,441.76
29.34,71.98,428.24
18.87,67.71,444.77
13.21,45.87,463.1
11.3,44.6,470.5
29.23,72.99,431
27.76,69.4,430.68
29.26,67.17,436.42
25.72,49.82,452.33
23.43,63.94,440.16
25.6,63.76,435.75
22.3,44.57,449.74
27.91,72.24,430.73
30.35,77.17,432.75
21.78,47.43,446.79
7.19,41.39,486.35
20.88,59.8,453.18
24.19,50.23,458.31
9.98,41.54,480.26
23.47,51.3,448.65
26.35,49.5,458.41
29.89,64.69,435.39
19.29,50.16,450.21
17.48,43.14,459.59
25.21,75.6,445.84
23.3,48.78,441.08
15.42,37.85,467.33
21.44,63.09,444.19
29.45,68.27,432.96
29.69,47.93,438.09
15.52,36.99,467.9
11.47,43.67,475.72
9.77,34.69,477.51
22.6,69.84,435.13
8.24,39.61,477.9
17.01,44.2,457.26
19.64,44.6,467.53
10.61,41.58,465.15
12.04,40.1,474.28
29.19,65.71,444.49
21.75,45.09,452.84
23.66,77.54,435.38
27.05,75.33,433.57
29.63,69.71,435.27
18.2,39.63,468.49
32.22,70.8,433.07
26.88,73.56,430.63
29.05,65.74,440.74
8.9,39.96,474.49
18.93,48.6,449.74
27.49,63.76,436.73
23.1,70.79,434.58
11.22,43.13,473.93
31.97,79.74,435.99
13.32,43.22,466.83
31.68,68.24,427.22
23.69,63.77,444.07
13.83,41.49,469.57
18.32,66.51,459.89
11.05,40.71,479.59
22.03,64.69,440.92
10.23,41.46,480.87
23.92,66.54,441.9
29.38,69.68,430.2
17.35,42.86,465.16
9.81,44.45,471.32
4.97,40.64,485.43
5.15,40.07,495.35
21.54,58.49,449.12
7.94,42.02,480.53
18.77,50.66,457.07
21.69,69.94,443.67
10.07,44.68,477.52
13.83,39.64,472.95
10.45,39.69,472.54
11.56,40.71,469.17
23.64,70.04,435.21
10.48,40.22,477.78
13.09,39.85,475.89
10.67,40.23,483.9
12.57,39.16,476.2
14.45,43.34,462.16
14.22,37.85,471.05
6.97,41.26,484.71
20.61,63.86,446.34
14.67,42.28,469.02
29.06,72.86,432.12
14.38,40.1,467.28
32.51,69.98,429.66
11.79,45.09,469.49
8.65,40.56,485.87
9.75,40.81,481.95
9.11,40.02,479.03
23.39,69.13,434.5
14.3,54.3,464.9
17.49,63.94,452.71
31.1,69.51,429.74
19.77,56.65,457.09
28.61,72.29,446.77
13.52,41.48,460.76
13.52,40.83,471.95
17.57,46.21,453.29
28.18,60.07,441.61
14.29,46.18,464.73
18.12,43.69,464.68
31.27,73.91,430.59
26.24,77.95,438.01
7.44,41.04,479.08
29.78,74.78,436.39
23.37,65.46,447.07
10.62,39.58,479.91
5.84,43.02,489.05
14.51,53.82,463.17
11.31,42.02,471.26
11.25,40.67,480.49
9.18,39.42,473.78
19.82,58.16,455.5
24.77,58.41,446.27
9.66,41.06,482.2
21.96,59.8,452.48
18.59,43.14,464.48
24.75,69.89,438.1
24.37,63.47,445.6
29.6,67.79,442.43
25.32,61.25,436.67
16.15,41.85,466.56
15.74,71.14,457.29
5.97,36.25,487.03
15.84,52.72,464.93
14.84,44.63,466
12.25,48.79,469.52
27.38,70.04,428.88
8.76,41.48,474.3
15.54,39.31,461.06
18.71,39.39,465.57
13.06,41.78,467.67
12.72,40.71,466.99
19.83,39.39,463.72
27.23,49.16,443.78
24.27,68.28,445.23
11.8,40.66,464.43
6.76,36.25,484.36
25.99,63.07,442.16
16.3,39.63,464.11
16.5,49.39,462.48
10.59,42.49,477.49
26.05,65.59,437.04
19.5,40.79,457.09
22.21,45.01,450.6
17.86,45,465.78
29.96,70.04,427.1
19.08,44.63,459.81
23.59,47.43,447.36
3.38,39.64,488.92
26.39,66.49,433.36
8.99,39.04,483.35
10.91,41.04,469.53
13.08,39.82,476.96
23.95,58.46,440.75
15.64,43.71,462.55
18.78,54.2,448.04
20.65,50.59,455.24
4.96,40.07,494.75
23.51,57.32,444.58
5.99,35.79,484.82
23.65,66.05,442.9
5.17,39.33,485.46
26.38,49.5,457.81
6.02,43.65,481.92
23.2,61.02,443.23
8.57,39.69,474.29
30.72,71.58,430.46
21.52,50.66,455.71
22.93,62.26,438.34
5.71,41.31,485.83
18.62,44.06,452.82
27.88,68.94,435.04
22.32,59.8,451.21
14.55,42.74,465.81
17.83,44.92,458.42
9.68,39.96,470.22
19.41,49.39,449.24
13.22,44.92,471.43
12.24,44.92,473.26
19.21,58.49,452.82
29.74,70.32,432.69
23.28,60.84,444.13
8.02,41.92,467.21
22.47,48.6,445.98
27.51,73.77,436.91
