"x","y"
-10,1.50061712188287e-14
-9.9,-1.70729971958226
-9.8,-4.43488967376155
-9.7,-2.34402845557957
-9.6,-3.03480518088681
-9.5,-1.99999999999998
-9.4,-1.85923467630186
-9.3,-4.24614148816989
-9.2,-2.53277664117121
-9.1,-2.88287022416723
-9,1.50626581520152e-14
-8.9,2.88287022416722
-8.8,2.53277664117122
-8.7,4.2461414881699
-8.6,1.85923467630184
-8.5,1.99999999999999
-8.4,3.03480518088679
-8.3,2.34402845557957
-8.2,4.43488967376155
-8.1,1.70729971958223
-8,-9.86282453277476e-15
-7.9,-1.70729971958225
-7.8,-4.43488967376154
-7.7,-2.34402845557957
-7.6,-3.03480518088681
-7.5,-1.99999999999998
-7.4,-1.85923467630186
-7.3,-4.2461414881699
-7.2,-2.53277664117121
-7.1,-2.88287022416721
-7,1.11439178197836e-14
-6.9,2.88287022416721
-6.8,2.53277664117123
-6.7,4.24614148816989
-6.6,1.85923467630185
-6.5,1.99999999999999
-6.4,3.03480518088679
-6.3,2.34402845557959
-6.2,4.43488967376154
-6.1,1.70729971958224
-6,2.57167334302699e-15
-5.9,-1.70729971958231
-5.8,-4.43488967376153
-5.7,-2.3440284555796
-5.6,-3.0348051808868
-5.5,-1.99999999999998
-5.4,-1.85923467630186
-5.3,-4.24614148816989
-5.2,-2.53277664117121
-5.1,-2.88287022416722
-5,7.22517748755203e-15
-4.9,2.88287022416721
-4.8,2.53277664117124
-4.7,4.2461414881699
-4.6,1.85923467630184
-4.5,2
-4.4,3.03480518088679
-4.3,2.34402845557959
-4.2,4.43488967376154
-4.1,1.70729971958224
-4,2.57167334302699e-15
-3.9,-1.70729971958229
-3.8,-4.43488967376154
-3.7,-2.34402845557958
-3.6,-3.03480518088681
-3.5,-2
-3.4,-1.85923467630187
-3.3,-4.24614148816989
-3.2,-2.53277664117122
-3.1,-2.88287022416722
-3,3.30643715532042e-15
-2.9,2.88287022416721
-2.8,2.53277664117123
-2.7,4.24614148816989
-2.6,1.85923467630184
-2.5,2
-2.4,3.03480518088679
-2.3,2.34402845557958
-2.2,4.43488967376154
-2.1,1.70729971958225
-2,7.90074386122774e-15
-1.9,-1.70729971958225
-1.8,-4.43488967376154
-1.7,-2.34402845557958
-1.6,-3.0348051808868
-1.5,-2
-1.4,-1.85923467630184
-1.3,-4.24614148816988
-1.2,-2.53277664117122
-1.1,-2.88287022416721
-1,-6.12303176911189e-16
-0.9,2.8828702241672
-0.799999999999999,2.53277664117125
-0.699999999999999,4.24614148816989
-0.6,1.85923467630184
-0.5,2
-0.399999999999999,3.03480518088678
-0.299999999999999,2.34402845557958
-0.199999999999999,4.43488967376154
-0.0999999999999996,1.70729971958224
0,-2.75739717517376e-15
0.100000000000001,-1.70729971958232
0.200000000000001,-4.43488967376154
0.300000000000001,-2.34402845557958
0.4,-3.0348051808868
0.5,-2
0.600000000000001,-1.85923467630188
0.700000000000001,-4.24614148816987
0.800000000000001,-2.53277664117122
0.9,-2.88287022416721
1,-4.5310435091428e-15
1.1,2.88287022416721
1.2,2.53277664117125
1.3,4.2461414881699
1.4,1.85923467630185
1.5,2
1.6,3.03480518088679
1.7,2.34402845557959
1.8,4.43488967376154
1.9,1.70729971958225
2,7.90074386122774e-15
2.1,-1.70729971958232
2.2,-4.43488967376154
2.3,-2.34402845557957
2.4,-3.03480518088681
2.5,-2
2.6,-1.8592346763019
2.7,-4.24614148816988
2.8,-2.53277664117123
2.9,-2.8828702241672
3,-1.91079248777759e-14
3.1,2.8828702241672
3.2,2.53277664117125
3.3,4.24614148816989
3.4,1.85923467630183
3.5,2
3.6,3.03480518088677
3.7,2.34402845557958
3.8,4.43488967376155
3.9,1.70729971958224
4,-2.75739717517376e-15
4.1,-1.70729971958231
4.2,-4.43488967376154
4.3,-2.34402845557956
4.4,-3.0348051808868
4.5,-2
4.6,-1.85923467630188
4.7,-4.24614148816987
4.8,-2.53277664117123
4.9,-2.88287022416721
5,-1.2368524173606e-14
5.1,2.88287022416721
5.2,2.53277664117125
5.3,4.24614148816988
5.4,1.85923467630186
5.5,1.99999999999998
5.6,3.03480518088679
5.7,2.34402845557959
5.8,4.43488967376155
5.9,1.70729971958225
6,7.90074386122774e-15
6.1,-1.70729971958232
6.2,-4.43488967376156
6.3,-2.34402845557957
6.4,-3.03480518088685
6.5,-1.99999999999999
6.6,-1.85923467630188
6.7,-4.24614148816986
6.8,-2.53277664117123
6.9,-2.88287022416721
7,-5.62912346943611e-15
7.1,2.88287022416722
7.2,2.53277664117122
7.3,4.24614148816989
7.4,1.85923467630183
7.5,1.99999999999998
7.6,3.03480518088679
7.7,2.34402845557954
7.8,4.43488967376155
7.9,1.70729971958221
8,-2.75739717517376e-15
8.1,-1.70729971958232
8.2,-4.43488967376155
8.3,-2.34402845557958
8.4,-3.03480518088686
8.5,-1.99999999999999
8.6,-1.85923467630187
8.7,-4.24614148816985
8.8,-2.53277664117122
8.9,-2.88287022416722
9,-2.02060048380692e-14
9.1,2.88287022416721
9.2,2.53277664117127
9.3,4.24614148816986
9.4,1.8592346763018
9.5,1.99999999999998
9.6,3.03480518088678
9.7,2.34402845557961
9.8,4.43488967376154
9.9,1.70729971958222
