x,y
-2.289707254,-5.298498083
-2.086515263,-2.165588995
-1.904272834,-0.552044467
-1.38713566,-2.86785737
-1.162845585,-4.174584686
-1.04228494,-3.197176395
-0.780465474,-1.259263558
-0.648717869,-7.164544091
-0.362807284,-0.236139518
-0.244813599,-0.711989617
-0.138315589,-0.947990521
0.269090576,-4.431085523
0.495988455,-0.802718302
0.527929296,-1.022746399
0.648365209,3.951545689
0.935624354,-1.927715885
1.080491233,3.28325423
1.1947777,9.14636117
1.402772234,-0.46230175
1.45281887,-0.85741426
1.638888558,7.396676731
1.772197188,-0.932826222
1.939059542,1.767245353
2.003812341,4.236476116
2.239384714,3.364523912
2.481399898,2.889252125
2.552788043,5.903336246
3.008823499,32.43260682
3.15650424,46.43598562
3.334422977,6.584483119
4.289707254,8.13933659
